NOTITLE;Question 9 - How long have you lived in the Streetcar East Extension project area?;NOTITLE;Question 11 - Which bike facility do you prefer?;Question 12 - Please leave any questions or comments here that we can answer in the future. (Optional);Question 6B - Beltline at Ladybird Plan View - Comments/Concerns;Question 6G - Irwin at Beltline Plan View - Comments/Concerns;Question 6C - Beltline at Ponce de Leon Plan View - Comments/Concerns;Question 7 - When thinking about improving transit for the Streetcar East Extension project, what concerns you most? (Select all that apply);Question 4 - Do you support establishing full closure of sections of existing streets from vehicular traffic, to prioritize pedestrian/bike/transit movement in any of the following in-street portions of the proposed route? Select any street sections  below where you would support prioritizing pedestrian/bike/transit movements, by closing access to vehicles.;Question 8 - Choose the categories that best describe you. (Select all that apply);Question 3 - Do you support the partial closure of existing streets from vehicular traffic, to prioritize pedestrian/bike/transit movement in any of the following in-street portions of the proposed route?  For example, between 7-9 a.m., 4-6 p.m. weekdays, or 7 p.m. to midnight on weekends. Select any street  sections below where you would support prioritizing pedestrian/bike/transit movements, by limiting vehicle use.;Question 6H - Auburn at Irwin Stop Extended Bike Couplet Plan View - Comments/Concerns;NOTITLE;Question 6F - Edgewood Avenue Cycle Track Plan View - Comments/Concerns;Question 6D - Beltline at Ralph McGill Plan View - Comments/Concerns;Question 6E - Edgewood Avenue Extended Bike Couplet Plan View - Comments/Concerns;Question 10 - Choose the statement that best describes your transit usage. ;Question 6A - Beltline at Highland Plan View - Comments/Concerns;Question 5A - Where do you think streetcar stops should be located? (Rank them in order of importance, 1 being most important);Question 5B - If other, please describe:;NOTITLE;NOTITLE
;donotlive;Time to complete. 20 yes to get 3 miles of track seems like a long time.;couplet;I get this takes time but if this is like other construction projects. The longer timeline means adding costs. Should be done faster;;;;['other'];['Irwin Street, between Sampson Street and Krog Street'];['Commuter', 'Employed'];['Edgewood Avenue, between Jackson Street and Boulevard SE', 'Irwin Street, between Sampson Street and Krog Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '4', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '3', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '2'};;[{'x': -84.28448741676118, 'y': 34.082777147273355, 'type': 'work'}, {'x': -84.3619061359535, 'y': 33.740422009757204, 'type': 'home'}, {'x': -84.36414560502207, 'y': 33.74182742809251, 'type': 'meet'}, {'x': -84.36685599080941, 'y': 33.75372917183528, 'type': 'play'}];
;lessthan6months;;no-preference;Closing Irwin partially will create a great and safe pedestrian experience on the beltline. Please do it!;;;;['Loss of trees/tree canopy', 'Impact to pedestrian/cyclist experience on the BeltLine trail'];['Irwin Street, between Sampson Street and Krog Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '3', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.36511129692357, 'y': 33.75747641083164}, {'x': -84.36536169800378, 'y': 33.75760131871357}, {'x': -84.36792718116479, 'y': 33.76993314178956, 'type': 'home'}, {'x': -84.36583454801578, 'y': 33.772161920347216, 'type': 'play'}];
;morethanayear;;no-preference;For Question 11, my lack of preference assumes that the cycle track will be completely blocked from traffic, so that cars can never block the bike-only lanes. This isolation, however, is generally not the case with existing cycle tracks in Atlanta. If this isolation cannot be guaranteed, I strongly prefer the couplet.;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;sometimes;General observation about stations on the BeltLine corridor: The stations are too far apart. The SCE extenion is longer than the existing streetcar -- but has only 5 stations, while the existing service (which, again, is shorter in each direction) has 6 stations in each direction. I'm okay with the on-street station placements -- but the stations in the BeltLine corridor should be more frequent.;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '3', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '4', 'Near places with a high number of community facilities (parks, churches, recreational)': '5'};;[{'x': -84.36507790870522, 'y': 33.75759180431129}, {'x': -84.36514228172159, 'y': 33.75766316357189}, {'x': -84.36554997749185, 'y': 33.757681003377755}, {'x': -84.36795323676927, 'y': 33.755807803491244}, {'x': -84.36801760978562, 'y': 33.75443409756104}, {'x': -84.37215894050472, 'y': 33.75445193803886}, {'x': -84.37432616538884, 'y': 33.75459466172785}, {'x': -84.36814635581828, 'y': 33.75675213896258, 'type': 'home'}, {'x': -84.3641123134599, 'y': 33.757358696725284, 'type': 'meet'}, {'x': -84.35643046684126, 'y': 33.766385196197795, 'type': 'play'}];
;donotlive;connections to other transit modes;no-preference;;;;;['other'];['Irwin Street, between Sampson Street and Krog Street'];['Student'];['Irwin Street, between Sampson Street and Krog Street'];;;;;;everyday;;{'Other': '6', 'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};cross streets for bus and walking connections ;[{'x': -84.37219336262335, 'y': 33.754498506851625}, {'x': -84.37103390443502, 'y': 33.75161297412016}, {'x': -84.37443439802284, 'y': 33.75555697004258}, {'x': -84.37439121288611, 'y': 33.75445519710523}, {'x': -84.3757301813179, 'y': 33.754537683130266}, {'x': -84.37669776726528, 'y': 33.75487719561005}, {'x': -84.36978009744911, 'y': 33.75459843039135}, {'x': -84.36580453458139, 'y': 33.757553594155354}, {'x': -84.36815885402159, 'y': 33.75599675537001}, {'x': -84.30325083379202, 'y': 33.70320434844807, 'type': 'home'}, {'x': -84.28451543618486, 'y': 33.7721575101302, 'type': 'work'}, {'x': -84.3656143767035, 'y': 33.77300453401951, 'type': 'meet'}, {'x': -84.36506756753404, 'y': 33.770630149879224, 'type': 'play'}];
Let's close several blocks of Peachtree Street like we did for Streets Alive a couple of years ago - like New York closed Broadway.;donotlive;I'm not worried about any of this stuff. Just build it. It will improve quality of life and economic opportunity for in-town residents and commuters.;no-preference;Please build this streetcar extension as soon as possible. 2027 is ridiculous. Atlanta's transit system is pathetic. Let's get serious. Let's get ambitious.;;;;['other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'other'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;Get rid of parking along Edgewood to build the bike track and widen sidewalks. Heck, close Edgewood and Auburn to cars.;;Get rid of parking along Edgewood to build the bike track and widen sidewalks. Heck, close Edgewood and Auburn to cars.;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[];
;donotlive;The streetcar does not have its own right of way downtown, and this makes the service worse. I've seen streetcar delays because cars are parked on the tracks, or it's stuck in traffic, or the train got hit by a car. I would put more trust in this train if it had its own dedicated right of way, it sounds like we can do this by closing car traffic on Edgewood or Irwin street.;couplet;Would you have to pay $1 to ride this extension? Does it integrate with a MARTA breeze card? Can I get off Peachtree Center station and use my MARTA transfer to make use of this system, or do I need to keep a spare dollar on hand to ride?;;;;['other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;Mixed traffic with the streetcar would cause bottlenecks in the system, making it hard to maintain headways and reliable service. It's tough to justify riding a streetcar when it's crawling along at the same speed a private car is.;everyday;;{'Near places with the highest number of jobs': '4', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '3'};;[{'x': -84.36779230422832, 'y': 33.76378021526109}, {'x': -84.36526029891823, 'y': 33.772282233677956, 'type': 'meet'}, {'x': -84.36066835708469, 'y': 33.76493317142385, 'type': 'play'}];
;morethanayear;This project is so late. Please dedicate less time to hand-wringing over parking and traffic, and more to getting this done within our lifetimes.;cycle-track;"This may be beyond what's allowable these days, but please reference Atlanta's historical streetcar-in-greenway sections for aesthetic inspiration - What I do not want to see is a paved or gravel-strewn trackbed running beside the beltline. 

Track bed should be green and vegetated, and covered by tree canopy as much as possible. ";;Close it off to cars. Such a short block.;;['other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed', 'Commuter'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];I'm sure there's a way to maintain cyclist access through this section of Auburn.. Please try.;;I love this idea so much, as a cyclist and frequent user of Edgewood ave, this would be an ideal connection into downtown and significantly reduce my stress as I traverse this crowded block.;;No more paint-only bike infrastructure. If paint is the only safety suggestion, don't bother. Atlanta drivers consider a bike lane an invitation to park there. Bollards / tire stops / planters or nothing, please.;everyday;I wish it were feasible to swap the transit and trail ROW here, with the trail adjacent to the park, and the train on the outside. This would make it less likely that children / frisbees / overzealous dogs might run from the field into the rail ROW.;{'Other': '6', 'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '4', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '5'};;[{'x': -84.34924000536712, 'y': 33.74815802997189}, {'x': -84.34941166674407, 'y': 33.748015295568656}, {'x': -84.34913593454417, 'y': 33.74765756909471}, {'x': -84.34924322290473, 'y': 33.74765043244744}, {'x': -84.34914451748205, 'y': 33.74705807966948}, {'x': -84.34913164274779, 'y': 33.74669767000341}, {'x': -84.34913593454428, 'y': 33.7462195008926}, {'x': -84.3491402260132, 'y': 33.74515966843425}, {'x': -84.34915310074751, 'y': 33.74431036570711}, {'x': -84.34913593454434, 'y': 33.74403915775267}, {'x': -84.34936955097002, 'y': 33.76010666375476}, {'x': -84.34891464805916, 'y': 33.76027792069266}, {'x': -84.34918930600034, 'y': 33.75846543251645}, {'x': -84.34929923554648, 'y': 33.76507624025709}, {'x': -84.34903315988832, 'y': 33.76506196986177}, {'x': -84.34908465882528, 'y': 33.764862180811406}, {'x': -84.34935931676648, 'y': 33.764997751420246}, {'x': -84.37824613193162, 'y': 33.75439131132699}, {'x': -84.37548906798907, 'y': 33.75438709530474}, {'x': -84.37440330964895, 'y': 33.75433000550167}, {'x': -84.37215454521808, 'y': 33.754301460585864}, {'x': -84.34845035936607, 'y': 33.74901086286302, 'type': 'home'}, {'x': -84.38880366095817, 'y': 33.7485005917881, 'type': 'work'}, {'x': -84.34794824931427, 'y': 33.74094250793224, 'type': 'meet'}, {'x': -84.36054819595422, 'y': 33.765662599857386, 'type': 'play'}];
;morethanayear;;no-preference;Hope to see come case studies from around the world to be educated and inspired. ;The pedestrian path seems very narrow...;;This is the most concern layout, It is above grade/ elevated platform, and the traffic is the max at this location. There will be a lot of movement and coordination with existing building and businesses. It seems fits the light rail but nothing else. ;['Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of trees/tree canopy'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '3', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '1'};;[{'x': -84.38500135726751, 'y': 33.771347767832594}, {'x': -84.38501208610359, 'y': 33.77129871618032}, {'x': -84.38491552657906, 'y': 33.771338849352446}, {'x': -84.38395529575176, 'y': 33.78167474484143}, {'x': -84.36778693981023, 'y': 33.773461421444324}, {'x': -84.38734224695341, 'y': 33.77126864677039}, {'x': -84.38516429323316, 'y': 33.769872892043416}, {'x': -84.38532522577404, 'y': 33.76817833498025}, {'x': -84.38542178529859, 'y': 33.76733996277925}, {'x': -84.38550024814477, 'y': 33.77151666137511, 'type': 'home'}];
;donotlive;Streetcar not having high enough frequency and travel times (getting stuck in traffic) so that it doesn't provide fast transit solution;cycle-track;How is this design allowing for the possible future extension of the streetcar both north of Ponce and south of Irwin along the Beltline as originally envisioned in the Beltline plan?;;;Hoping streetcar will be designed here with potential for future expansion north along the Beltline, not just ending here;['other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed', 'Commuter'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;I see this one as risky for east-bound cyclists wanting to ride on Edgewood but having no safe place to ride because of the tracks in the roadway (tire hazard).;sometimes;;{'Other': '3', 'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '4', 'Near places with a high number of community facilities (parks, churches, recreational)': '6'};Near transit connections (bus stops, MARTA stations, Relay bike stations);[{'x': -84.36410528216288, 'y': 33.75700988627919, 'type': 'meet'}, {'x': -84.36013904940107, 'y': 33.76513866141673, 'type': 'play'}];
;morethanayear;Timeline. Tax rate was approved in 2016, plan was approved in 2018,but construction won't start until 2024 and won't be finished until 2027.It shouldn't take 11 years to add 5 miles of transit. I think steps should be taken to rapidly speed up the planning & design phase so we can open the new streetcar extension as soon as possible.;couplet;;;;;['other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Student', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '3', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '2'};"The main use should be connecting people to destinations on a regular basis --> jobs, recreation, and ""3rd places"" like bars, parks, and coffee shops and makes those trips feasible and competitive with driving instead. ";[{'x': -84.37210529763388, 'y': 33.75424008103601}, {'x': -84.37210529763388, 'y': 33.75424008103601}, {'x': -84.36424320342621, 'y': 33.75752267279311}, {'x': -84.36870640184634, 'y': 33.7817243465297}, {'x': -84.367676436204, 'y': 33.771194032788394}, {'x': -84.36760777270096, 'y': 33.773448599812305}, {'x': -84.36359089490865, 'y': 33.77373398368886}, {'x': -84.34807269569282, 'y': 33.79360684426582, 'type': 'home'}, {'x': -84.36417453337492, 'y': 33.77304014150533, 'type': 'work'}, {'x': -84.3587199915506, 'y': 33.763051060423585, 'type': 'meet'}, {'x': -84.35993878313609, 'y': 33.7660621732159, 'type': 'play'}];
;morethanayear;;couplet;;;;;['Loss of trees/tree canopy', 'Impact to pedestrian/cyclist experience on the BeltLine trail'];['Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Irwin Street, between Sampson Street and Krog Street'];['Commuter', 'Employed'];;;;;;;sometimes;;{'Near places with the highest number of jobs': '4', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '3'};;[{'x': -84.37526359743927, 'y': 33.76716545619963, 'type': 'home'}, {'x': -84.37234761714505, 'y': 33.75394758050676, 'type': 'meet'}, {'x': -84.36907129883339, 'y': 33.75414187536321, 'type': 'play'}];
;morethanayear;;cycle-track;;;;;['Construction  impacts (e.g., traffic, business access)'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Student', 'Under 16'];['Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Irwin Street, between Sampson Street and Krog Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.37772030801544, 'y': 33.75439151560334}];
;donotlive;;no-preference;;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of trees/tree canopy'];['Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Irwin Street, between Sampson Street and Krog Street'];['Retiree'];['Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Irwin Street, between Sampson Street and Krog Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '3', 'Near places with the highest number of residents (apartments, condominiums)': '4', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '5'};;[];
;donotlive;NONE;cycle-track;The Edgewood Ave Cycle Track idea would extend the experience of the BeltLine, where people can safely walk, roll without worrying about high speed vehicles. This extends that experience to the businesses along Edgewoood Ave. Bringing more customers. This builds on Councilmember Farokhi plan to close Edgewood Ave to vehicles at certain times: https://t.co/LS1RERuTP8?amp=1. The Streetcar and car-free Edgewood Ave will attract enough customers to offset any who would not visit because access to free and easy parking. ;Is Ladybird is encroaching on BeltLine land? Is there an easement.;Great idea to build the wye at Irwin Street for future expansion. Recommend typical railroad gate arms for controlling crossing. Raised bike lanes along Irwin St for the portion along the streetcar alignment. Wayfinding signs from station to local businesses. ;Gate barriers for the pedestrian crossing at this location where it crosses light rail tracks.;['other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];We have to stop prioritizing free on-street parking over improved transit service. There is plenty of parking at Studioplex garage and future developments.;;This is a great proposal! This is the ideal proposal for this corridor. It extends the feel of the BeltLine where pedestrians, cyclists, and other LIT users feel comfortable away from high speed vehicles. This proposal will boost the businesses along Edgewood Ave with customers traveling between Downtown and BeltLine in a multimodal cooridor.;Good location placing near large mixed use development. Hopefully developers are providing funding or easements.;Prefer the Edgewood Ave Cycle Track proposal.;everyday;Good placement near multifamily development.;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '4', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '5'};;[{'x': -84.37216376926658, 'y': 33.75434779393178}, {'x': -84.37439536716701, 'y': 33.754390611006535}, {'x': -84.379416462443, 'y': 33.7543906112107}, {'x': -84.37802600489674, 'y': 33.75444056434682}, {'x': -84.38786220232029, 'y': 33.75572506930072}, {'x': -84.38854884782813, 'y': 33.7544762454322}, {'x': -84.36722819995876, 'y': 33.754399281887245}, {'x': -84.39201801997982, 'y': 33.755951862064244, 'type': 'work'}, {'x': -84.36521606417335, 'y': 33.7303788361066, 'type': 'home'}, {'x': -84.3640144345346, 'y': 33.77128520727943, 'type': 'play'}, {'x': -84.36004622779899, 'y': 33.76344552508419, 'type': 'meet'}];
;donotlive;;couplet;More meetings, either virtually or in-person to allow for more feedback, especially from residents who may be directly impacted by any final decision. ;I think that the current alignment path at Ladybird is acceptable. ;I believe this will be the most problematic due to the sharp cornering for the streetcar/tram. MARTA might want to consider acquiring the property at the South corner of Irwin and the Beltline or augmenting the track to pass through it diagonally to reduce that sharp turn. ;Chef's kiss. ;['Loss of trees/tree canopy', 'Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of property (full or partial)'];['Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Irwin Street, between Sampson Street and Krog Street'];['Employed', 'Commuter'];['Edgewood Avenue, between Jackson Street and Boulevard SE'];Again, I believe this will be the most problematic due to the sharp cornering for the streetcar/tram. MARTA might want to consider acquiring the property at the South corner of Irwin and the Beltline or augmenting the track to pass through it diagonally to reduce that sharp turn. However, the bike couplet is acceptable. ;;I think that the current alignment path at Edgewood is acceptable. ;I think that the current alignment path at Ralph McGill is acceptable. ;I think that the current alignment path at Edgewood Avenue is acceptable. ;sometimes;I think that the current alignment path at Highland is acceptable. ;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '4', 'Near places with a high number of community facilities (parks, churches, recreational)': '3'};;[{'x': -84.37110751457068, 'y': 33.7513922418157}, {'x': -84.37090366668555, 'y': 33.75153497059801}, {'x': -84.37227695770119, 'y': 33.754282453350015}, {'x': -84.37183707542275, 'y': 33.75429137360518}, {'x': -84.3730308218175, 'y': 33.75764426814306}, {'x': -84.3733741445714, 'y': 33.75764426814306}, {'x': -84.37203539273678, 'y': 33.75981726647401}, {'x': -84.37216950318751, 'y': 33.7599287623979}, {'x': -84.37230897805627, 'y': 33.76038366426444}, {'x': -84.3721855964416, 'y': 33.760642332876564}, {'x': -84.37180879782201, 'y': 33.77115150336478}, {'x': -84.37156203459261, 'y': 33.771303117732465}, {'x': -84.37195900152685, 'y': 33.77126744378774}, {'x': -84.37080028723237, 'y': 33.77371107466265}, {'x': -84.37112215231417, 'y': 33.77365756524391}, {'x': -84.37117579649447, 'y': 33.77345244549575}, {'x': -84.37065008352754, 'y': 33.773818093399896}, {'x': -84.36844926547185, 'y': 33.781076563335525}, {'x': -84.3684599943079, 'y': 33.78228041290305}, {'x': -84.36766606043948, 'y': 33.7812727473821}, {'x': -84.36899643611089, 'y': 33.781629444497284}, {'x': -84.3688569612421, 'y': 33.78045233837955}, {'x': -84.3583305372056, 'y': 33.76852487768629}, {'x': -84.35884552133648, 'y': 33.76845352746855}, {'x': -84.35779409540261, 'y': 33.767971911944876}, {'x': -84.35880260599224, 'y': 33.767650833425265}, {'x': -84.35247259271684, 'y': 33.771182630971964}, {'x': -84.35275154245439, 'y': 33.770808053284725}, {'x': -84.35221510065139, 'y': 33.7712539789172}, {'x': -84.35283737314286, 'y': 33.77121830495201}, {'x': -84.29098239280788, 'y': 33.884600234007806, 'type': 'work'}, {'x': -84.15751097056801, 'y': 33.67843419182155, 'type': 'home'}, {'x': -84.35271641488147, 'y': 33.77090625985924, 'type': 'meet'}, {'x': -84.37064614978551, 'y': 33.74079732241688, 'type': 'play'}];
Please prioritize the higher capacity, safer, and more environmentally friendly pedestrian/bike/transit options in all locations possible, especially existing sections of the corridor.;morethanayear;Getting dedicated right of way for the streetcar. Signal prioritization and enforcement has not significantly improved delays from cars / trucks in the way yet, and that will not change going forward. Getting the streetcar / light rail dedicated right of way for the entire route over it the only way to ensure it succeeds as a higher capacity alternative.;couplet;Please revisit alternative 2 / extending the Auburn / Edgewood Couplet for the Streetcar. The preferences of a couple stakeholders should not add delays to what will be a core section of light rail transit in the city for decades to come. ;The safety and security barriers need to be eliminated / minimized on the Beltline. Every street with cars on it poses more danger and fencing those off to prevent people from crossing the street is not the solution. Barriers preventing people from crossing the track is not the solution here either. It will detract from the pedestrian connectivity of the area and thus the ridership. ;Please close this section (as well as the rest of the Streetcar right of way) to cars. The safety risk and delays imposed by cars in this corridor is unacceptable. ;The safety and security barriers need to be eliminated / minimized on the Beltline. Every street with cars on it poses more danger and fencing those off to prevent people from crossing the street is not the solution. Barriers preventing people from crossing the track is not the solution here either. It will detract from the pedestrian connectivity of the area and thus the ridership. ;['Impact to pedestrian/cyclist experience on the BeltLine trail', 'other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'other'];['Employed', 'Not Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street', 'other'];Dedicated bike lanes, protected from cars should be the top priority. After that, the route that will provide the best, most direct connectivity with long term plans for bike infrastructure in the area should be the preferred alternative.;Please prioritize the higher capacity, safer, and more environmentally friendly pedestrian/bike/transit options in all locations possible, especially existing sections of the corridor.;Dedicated bike lanes, protected from cars should be the top priority. After that, the route that will provide the best, most direct connectivity with long term plans for bike infrastructure in the area should be the preferred alternative.;The safety and security barriers need to be eliminated / minimized on the Beltline. Every street with cars on it poses more danger and fencing those off to prevent people from crossing the street is not the solution. Barriers preventing people from crossing the track is not the solution here either. It will detract from the pedestrian connectivity of the area and thus the ridership. ;Dedicated bike lanes, protected from cars should be the top priority. After that, the route that will provide the best, most direct connectivity with long term plans for bike infrastructure in the area should be the preferred alternative.;sometimes;The safety and security barriers need to be eliminated / minimized on the Beltline. Every street with cars on it poses more danger and fencing those off to prevent people from crossing the street is not the solution. Barriers preventing people from crossing the track is not the solution here either. It will detract from the pedestrian connectivity of the area and thus the ridership. ;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '1', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '1'};;[{'x': -84.37211244844507, 'y': 33.759990631278406}, {'x': -84.36822145636101, 'y': 33.74674093738586}, {'x': -84.39252584675121, 'y': 33.75197334148565, 'type': 'home'}, {'x': -84.36700551986138, 'y': 33.77019300432201, 'type': 'work'}, {'x': -84.366118601874, 'y': 33.77238100549547, 'type': 'meet'}, {'x': -84.36048238753716, 'y': 33.765031952257225, 'type': 'play'}];
